section_id;flow_id;flow_name;rain_runoff_coefficient;rain_EZG_area_m2;ABIMO_runoff_m3/a;rainstation_id;bank_filtration_share;is_mar;flow_in_out;flow_type;Kommentar
S01;GoK_3.41;Zufluss_Spree_Gosener Kanal;;;;;;;in;inlet;
S01;WW_FRI_L;Wasserwerk Friedrichshagen L-Galerie;;;;;0,86;;out;abstraction_WW;
S01;WW_FRI_M;Wasserwerk Friedrichshagen M-Galerie;;;;;0,81;;out;abstraction_WW;
S01;Wernsdorf;Zufluss OSK (Wernsdorf);;;;;;;in;inlet;
S02;DaW_0.165;Zufluss Zeuthener See (Schmöckwitz);;;;;;;in;inlet;
S02;WW_FRI_G;Wasserwerk Friedrichshagen G-Galerie;;;;;0,63;;out;abstraction_WW;
S02;WW_FRI_K;Wasserwerk Friedrichshagen K-Galerie;;;;;0,83;;out;abstraction_WW;
S03;ageb1_320;Regenabfluss in Langer See, Dahme und Große Krampe;0,244;5229069;788278;DWD_0433;;;in;rain_runoff;
S04;WW_FRI_B;Wasserwerk Friedrichshagen B-Galerie;;;;;0,15;;out;abstraction_WW;
S04;WW_FRI_C;Wasserwerk Friedrichshagen C-Galerie;;;;;0,95;;out;abstraction_WW;
S04;WW_FRI_D;Wasserwerk Friedrichshagen D-Galerie;;;;;1;;out;abstraction_WW;
S04;WW_FRI_E;Wasserwerk Friedrichshagen E-Galerie;;;;;0,85;;out;abstraction_WW;
S04;WW_FRI_F;Wasserwerk Friedrichshagen F-Galerie;;;;;0,81;;out;abstraction_WW;
S04;MgS_8.576;Zufluss_Spree_Fähre Rahnsdorf;;;;;;;in;inlet;
S04;Fredersdorfer;Zufluss Fredersdorfer Fließ;;;;;;;in;inlet;
S05;ageb1_310;Regenabfluss in Müggelspree (einschließlich Großer Müggelsee und Erpe);0,241;7138358;1100999;DWD_0433;;;in;rain_runoff;
S06;Neuenhagener_no_Q_KW_MHF;Neuenhagener Mühlenfließ (Erpe) (NH-MF minus KW-MHF);;;;;;;in;inlet;
S06;Q_KW_MHF;Einleitung Klärwerk Münchehofe;;;;;;;in;WWTP;
S06;WW_FRI_A;Wasserwerk Friedrichshagen A-Galerie;;;;;0,37;;out;abstraction_WW;
S07;ageb1_330;Regenabfluss in Stadtspree bis Abzweig Britzer Verbindungskanal;0,288;7208300;1299881;DWD_0433;;;in;rain_runoff;
S07;WW_WUH_West;Wasserwerk Wuhlheide West-Galerie;;;;;0,24;;out;abstraction_WW;
S08;Wuhle_baseflow;Zufluss_Wuhle (ohne Regen);;;;;;;in;inlet;Baseflow Wuhle
S08;ageb1_331;Regenabfluss in Wuhle;0,237;19485692;2948080;DWD_0433;;;in;rain_runoff;
S08;WW_KAU_Nord;Wasserwerk Kaulsdorf Nord-Galerie;;;;;0;;out;abstraction_WW;
S08;WW_KAU_Sued;Wasserwerk Kaulsdorf Süd-Galerie;;;;;0;;out;abstraction_WW;
S08;WW_WUH_Ost;Wasserwerk Wuhlheide Ost-Galerie;;;;;0,6;;out;abstraction_WW;
S09;ageb1_340;Regenabfluss in Stadtspree bis Abzweig Landwehrkanal;0,272;5741250;991101;DWD_0433;;;in;rain_runoff;
S10;MHGG_baseflow;Zufluss_Marzahn Hohenschönhauser Grenzgraben (ohne Regen);;;;;;;in;inlet;Baseflow MHGG
S10;ageb1_351;Regenabfluss in Marzahn-Hohenschönhausener Grenzgraben;0,270;18177661;3128610;DWD_0433;;;in;rain_runoff;
S11;ageb1_350;Regenabfluss in Rummelsburger See;0,317;9626800;1946191;DWD_0433;;;in;rain_runoff;
S12;ageb1_620;Regenabfluss in Britzer Verbindungskanal;0,345;2511662;554034;DWD_0433;;;in;rain_runoff;
S13;CSO_1;Mischwasserüberläufe NSK;;;;;;;in;CSO;
S13;eag_150;Regenabfluss in Neuköllner Schifffahrtskanal;0,324;1097718;229611;DWD_0433;;;in;rain_runoff;
S14;CSO_2;Mischwasserüberläufe Landwehrkanal;;;;;;;in;CSO;
S14;eag_140;Regenabfluss in Landwehrkanal mit Flutgraben;0,421;4718966;1239924;DWD_0433;;;in;rain_runoff;
S14;eag_142;Regenabfluss in Urbanhafen;0,308;750793;146506;DWD_0433;;;in;rain_runoff;
S15;ageb1_380;Regenabfluss in Stadtspree bis Abzweig Berlin-Spandauer-Schifffahrtskanal;0,335;6095147;1297840;DWD_0433;;;in;rain_runoff;
S15;CSO_3;Mischwasserüberläufe Stadtspree bis Abzweig BSSK;;;;;;;in;CSO;
S16;Panke_baseflow_no_Q_KW_SCH_Panke;Zufluss Panke (ohne Regen);;;;;;;in;inlet;
